scale_pos_weight,max_depth,n_estimators,learning_rate,scale_pos_weight_multiplier,validation_pr_auc,validation_roc_auc
28.850104821802937,3,300,0.05,0.5,0.34972137231807937,0.8799191920110593
115.40041928721175,3,300,0.1,2.0,0.34695265457747343,0.8651968586292201
28.850104821802937,3,100,0.1,0.5,0.3468046170384319,0.8835332690628638
57.700209643605874,3,300,0.1,1.0,0.3466965771001012,0.8726751218713621
57.700209643605874,4,100,0.1,1.0,0.344327819274877,0.8815346696740396
115.40041928721175,3,300,0.05,2.0,0.3438485933514138,0.8711869724970897
28.850104821802937,3,300,0.1,0.5,0.3436027796424033,0.8699546165599535
57.700209643605874,3,100,0.3,1.0,0.34289084951127774,0.8710175803987193
115.40041928721175,3,500,0.05,2.0,0.33984197102553865,0.8702104099970897
28.850104821802937,3,500,0.05,0.5,0.3395920838535446,0.8784344532159488
57.700209643605874,3,100,0.1,1.0,0.338756329378621,0.89017423512078
28.850104821802937,3,500,0.01,0.5,0.33854165606847886,0.8936012987485448
57.700209643605874,3,300,0.05,1.0,0.33850132328887417,0.8747578488795111
28.850104821802937,3,100,0.05,0.5,0.33771544187923597,0.8933466421711291
28.850104821802937,3,500,0.1,0.5,0.3370892432834595,0.8638485430005821
57.700209643605874,3,500,0.1,1.0,0.33706871841929603,0.867965112048894
115.40041928721175,3,500,0.1,2.0,0.33551881779818965,0.8637359938882421
57.700209643605874,3,500,0.01,1.0,0.3345373621582905,0.8896313846041908
115.40041928721175,3,100,0.05,2.0,0.3345342417433753,0.8885382939828288
57.700209643605874,4,500,0.01,1.0,0.3341855617246009,0.8852055897118742
57.700209643605874,3,100,0.05,1.0,0.3335584756644752,0.8891578825305588
28.850104821802937,4,100,0.05,0.5,0.33249712397233855,0.8864430615177532
57.700209643605874,3,300,0.01,1.0,0.331955261334066,0.893877555660652
115.40041928721175,3,500,0.01,2.0,0.32971192349923245,0.886266279831199
28.850104821802937,3,300,0.01,0.5,0.3286082289359262,0.8978110902939465
57.700209643605874,4,100,0.05,1.0,0.3282341600695301,0.8847690355791619
57.700209643605874,3,500,0.05,1.0,0.3272389863003771,0.8747601225989523
115.40041928721175,3,100,0.1,2.0,0.32658437262409873,0.8830353245052387
28.850104821802937,4,500,0.01,0.5,0.3262507059001853,0.8857239977444703
115.40041928721175,3,300,0.01,2.0,0.32603389509246594,0.8885428414217114
115.40041928721175,4,500,0.01,2.0,0.32539124329273056,0.8825999072322468
57.700209643605874,5,500,0.01,1.0,0.3248097644342547,0.8780570157887078
57.700209643605874,4,300,0.05,1.0,0.32372451900509747,0.8715450833090802
57.700209643605874,4,500,0.05,1.0,0.32354542635331035,0.8700091858265423
57.700209643605874,5,500,0.05,1.0,0.32352240587371706,0.8604106792054715
115.40041928721175,4,100,0.05,2.0,0.32307321511166925,0.8812680760695576
28.850104821802937,4,300,0.05,0.5,0.32299375659813406,0.874346305660652
57.700209643605874,5,100,0.05,1.0,0.3228197120977652,0.8796065555878928
57.700209643605874,3,100,0.01,1.0,0.3226204897503758,0.8891459455034924
115.40041928721175,4,300,0.01,2.0,0.32199796495053773,0.8883421856810244
115.40041928721175,5,100,0.1,2.0,0.32053135441096847,0.8690985611903375
28.850104821802937,5,500,0.01,0.5,0.31942670248718913,0.8814573632130386
57.700209643605874,4,300,0.01,1.0,0.31916038864202734,0.8879590639551805
115.40041928721175,3,100,0.3,2.0,0.3191552117590642,0.8640713675058206
28.850104821802937,5,300,0.05,0.5,0.3186004203122892,0.8666781868451688
28.850104821802937,4,300,0.01,0.5,0.31737310715026174,0.8877487449068685
57.700209643605874,5,300,0.05,1.0,0.31616405167100997,0.8669555806169965
28.850104821802937,6,500,0.05,0.5,0.31609008270513184,0.8621182425058209
28.850104821802937,3,100,0.01,0.5,0.3155987291957011,0.887306506475553
28.850104821802937,5,300,0.01,0.5,0.31442063912444185,0.8873474334254948
57.700209643605874,4,100,0.01,1.0,0.31433609400544643,0.8843796611248543
115.40041928721175,5,500,0.01,2.0,0.31342741122823115,0.8721135131693829
28.850104821802937,3,100,0.3,0.5,0.31286093151871364,0.857804996725844
28.850104821802937,5,500,0.05,0.5,0.3122504003278195,0.8637973843131548
57.700209643605874,6,500,0.01,1.0,0.3111343395608437,0.8705469204743888
57.700209643605874,5,300,0.01,1.0,0.3107054251944362,0.8858479154540163
57.700209643605874,5,300,0.1,1.0,0.3104291263797814,0.853506530122235
28.850104821802937,6,100,0.05,0.5,0.31030019730128106,0.8820496671274739
28.850104821802937,4,100,0.3,0.5,0.31011380152191914,0.8665008367287544
115.40041928721175,4,100,0.1,2.0,0.31010957846342946,0.8792893717258439
28.850104821802937,6,300,0.05,0.5,0.3101067573074936,0.8647045983701978
115.40041928721175,3,100,0.01,2.0,0.3098339224166104,0.8861372462529103
28.850104821802937,4,500,0.05,0.5,0.3095825974844223,0.8700637550931316
115.40041928721175,4,300,0.05,2.0,0.3091910458868146,0.8697465712310826
57.700209643605874,6,100,0.1,1.0,0.30897723888941503,0.8684005293218858
57.700209643605874,6,300,0.1,1.0,0.3086453535179922,0.8553573377473808
28.850104821802937,4,100,0.1,0.5,0.3085545282359679,0.8802341021536672
57.700209643605874,5,100,0.01,1.0,0.30806733760770777,0.8836458181752037
115.40041928721175,4,500,0.05,2.0,0.3073321924892219,0.8666622708090803
115.40041928721175,4,100,0.01,2.0,0.30722322660509493,0.8830427140934225
115.40041928721175,5,300,0.05,2.0,0.30669796242206016,0.860406131766589
57.700209643605874,4,100,0.3,1.0,0.30663280187342595,0.857217240250291
28.850104821802937,5,100,0.1,0.5,0.30469085455884165,0.8802250072759022
57.700209643605874,5,100,0.1,1.0,0.30465154532221644,0.8690712765570431
28.850104821802937,5,100,0.05,0.5,0.30438939883764704,0.8758912980209546
28.850104821802937,6,500,0.01,0.5,0.30433626418146253,0.8780092676804425
115.40041928721175,6,100,0.1,2.0,0.3040928545280519,0.8554892134749709
28.850104821802937,8,500,0.01,0.5,0.3040633591324899,0.8687916090657741
115.40041928721175,5,300,0.1,2.0,0.30363260945640747,0.8574878128637952
57.700209643605874,4,300,0.1,1.0,0.3031917412132578,0.8651252364668218
28.850104821802937,5,100,0.3,0.5,0.30289672407861584,0.8544614922875436
115.40041928721175,5,300,0.01,2.0,0.30274034563612995,0.8807212465439466
57.700209643605874,3,300,0.3,1.0,0.302446433453513,0.852544746798603
115.40041928721175,6,500,0.01,2.0,0.3023371041268458,0.8556779321885913
115.40041928721175,5,100,0.05,2.0,0.3018652858357898,0.8692520372526193
57.700209643605874,5,500,0.1,1.0,0.30136439845127316,0.8438750545692666
28.850104821802937,4,100,0.01,0.5,0.30101170975162544,0.8907079907596043
28.850104821802937,6,300,0.01,0.5,0.3007900142322566,0.8834212883803843
115.40041928721175,4,500,0.1,2.0,0.30059228561525236,0.8608637178041326
57.700209643605874,8,500,0.01,1.0,0.299972876920922,0.8560701487922003
115.40041928721175,4,300,0.1,2.0,0.29982529001635344,0.8688518626309663
115.40041928721175,5,500,0.05,2.0,0.299337096595886,0.853898746725844
28.850104821802937,8,100,0.1,0.5,0.29904962938759755,0.8667907359575088
115.40041928721175,5,100,0.01,2.0,0.29895607951009606,0.8777159578725262
57.700209643605874,4,500,0.1,1.0,0.29859413073688346,0.8615645918218859
57.700209643605874,6,100,0.05,1.0,0.29846705305029364,0.8723488431315485
28.850104821802937,5,100,0.01,0.5,0.2982155398142641,0.8853891925567521
57.700209643605874,6,300,0.01,1.0,0.29792206426193274,0.8792006966676369
57.700209643605874,8,100,0.05,1.0,0.2975709004492248,0.8619772719004657
28.850104821802937,3,300,0.3,0.5,0.2969048459047649,0.8393981009895227
28.850104821802937,3,500,0.3,0.5,0.2954669033998785,0.8411818338911524
28.850104821802937,8,300,0.01,0.5,0.29342485113245054,0.8734390916036089
57.700209643605874,6,500,0.05,1.0,0.2917685470737093,0.8578868506257276
115.40041928721175,8,500,0.01,2.0,0.2910818695076205,0.8415831453725263
57.700209643605874,6,300,0.05,1.0,0.29073016639380483,0.863465421274738
28.850104821802937,8,300,0.05,0.5,0.28995903036694143,0.8671954580180443
115.40041928721175,3,300,0.3,2.0,0.28943968103250217,0.8385693302532014
115.40041928721175,6,500,0.1,2.0,0.2887989200731319,0.84718672693539
28.850104821802937,6,100,0.1,0.5,0.28873959636389995,0.8697602135477299
57.700209643605874,8,300,0.05,1.0,0.28812165003394075,0.8667748199214201
28.850104821802937,5,300,0.1,0.5,0.28801546004019385,0.8618527857610593
115.40041928721175,4,100,0.3,2.0,0.2872151517935232,0.8635916127037252
57.700209643605874,6,500,0.1,1.0,0.28693347596330526,0.8568693611757857
57.700209643605874,8,300,0.01,1.0,0.2862887465462056,0.8606505566065192
115.40041928721175,4,300,0.3,2.0,0.28593722176841196,0.8438540226644354
28.850104821802937,8,500,0.05,0.5,0.28563003424256694,0.8660222187863795
28.850104821802937,8,100,0.05,0.5,0.28404965873582005,0.8695055569703144
28.850104821802937,8,100,0.01,0.5,0.28392062426730863,0.8708112403594295
28.850104821802937,4,300,0.1,0.5,0.2838353376378064,0.8645647646245636
115.40041928721175,8,300,0.01,2.0,0.2836117294115868,0.8424926331490106
115.40041928721175,8,100,0.1,2.0,0.2834603588301506,0.8440808261786963
28.850104821802937,6,100,0.01,0.5,0.28304574411399713,0.8838845587165309
115.40041928721175,6,100,0.05,2.0,0.28241123053828243,0.8588020227008151
28.850104821802937,8,300,0.1,0.5,0.282265623889321,0.8644823422948196
115.40041928721175,6,500,0.05,2.0,0.28226509608680544,0.8486726025902211
28.850104821802937,4,500,0.1,0.5,0.28157178933664356,0.8588031595605355
115.40041928721175,6,300,0.01,2.0,0.28104139456942107,0.8635029376455181
28.850104821802937,8,500,0.1,0.5,0.2810089604883699,0.8664792363940628
115.40041928721175,5,500,0.1,2.0,0.28050253545412374,0.8470491669091967
115.40041928721175,6,100,0.3,2.0,0.2800568283011991,0.8344834564173458
57.700209643605874,8,100,0.1,1.0,0.2799077547120051,0.8521275192811409
28.850104821802937,5,500,0.1,0.5,0.27950792104152156,0.8555938045692666
115.40041928721175,6,300,0.05,2.0,0.27886768496596553,0.8522696267462166
57.700209643605874,6,100,0.01,1.0,0.2788417239118999,0.8816244815919674
115.40041928721175,8,100,0.05,2.0,0.2788331234258,0.8482894808643772
115.40041928721175,6,300,0.1,2.0,0.27734110643654,0.8411477280995343
115.40041928721175,8,300,0.05,2.0,0.2768610345373037,0.8501516570867287
57.700209643605874,8,500,0.05,1.0,0.27652512266309265,0.8686995234284052
28.850104821802937,6,300,0.1,0.5,0.276391868635995,0.8581369597642609
115.40041928721175,3,500,0.3,2.0,0.27637450901118116,0.8311024356082655
57.700209643605874,3,500,0.3,1.0,0.27620140072196586,0.8488738267607684
115.40041928721175,8,500,0.05,2.0,0.2755841195737264,0.859406832072177
28.850104821802937,6,100,0.3,0.5,0.2723681175199671,0.8630936681461
57.700209643605874,8,100,0.01,1.0,0.27082743494535305,0.857774869943248
28.850104821802937,4,300,0.3,0.5,0.2699412651657467,0.8507217922366125
115.40041928721175,8,100,0.3,2.0,0.26973315594581215,0.8526356955762514
28.850104821802937,6,500,0.1,0.5,0.2690402860835543,0.8582722460710127
115.40041928721175,8,500,0.1,2.0,0.2664262892281684,0.8531313664144354
115.40041928721175,5,100,0.3,2.0,0.26616840177027407,0.8532314100698486
28.850104821802937,8,100,0.3,0.5,0.2659410169850275,0.8509883858410943
