threshold,precision,recall,f1,tp,fp,tn,fn,total_cost
0.001,0.019666666666666666,1.0,0.03857469761359922,295,14705,0,0,73525.0
0.002,0.019666666666666666,1.0,0.03857469761359922,295,14705,0,0,73525.0
0.003,0.019666666666666666,1.0,0.03857469761359922,295,14705,0,0,73525.0
0.004,0.019666666666666666,1.0,0.03857469761359922,295,14705,0,0,73525.0
0.005,0.019667977865191012,1.0,0.03857721982476788,295,14704,1,0,73520.0
0.006,0.019669289238565143,1.0,0.03857974236578827,295,14703,2,0,73515.0
0.007,0.019670600786824033,1.0,0.03858226523672509,295,14702,3,0,73510.0
0.008,0.01967453648125917,1.0,0.03858983582968147,295,14699,6,0,73495.0
0.009000000000000001,0.019678473750917216,1.0,0.03859740939421693,295,14696,9,0,73480.0
0.010000000000000002,0.019691609371871036,1.0,0.03862267609321812,295,14686,19,0,73430.0
0.011,0.0197060788243153,1.0,0.038650507697346875,295,14675,30,0,73375.0
0.012,0.019664236505919336,0.9966101694915255,0.03856749311294766,294,14657,48,1,73785.0
0.013000000000000001,0.019677397764540527,0.9966101694915255,0.03859280651089525,294,14647,58,1,73735.0
0.014000000000000002,0.019697172718745812,0.9966101694915255,0.03863083897247224,294,14632,73,1,73660.0
0.015,0.01972757162987318,0.9966101694915255,0.03868930122384524,294,14609,96,1,73545.0
0.016,0.01969615488034418,0.9932203389830508,0.03862632654406433,293,14583,122,2,73915.0
0.017,0.01974526585349417,0.9932203389830508,0.03872076119994714,293,14546,159,2,73730.0
0.018000000000000002,0.019801311076569576,0.9932203389830508,0.03882851842035515,293,14504,201,2,73520.0
0.019000000000000003,0.019852293515820855,0.9932203389830508,0.03892653115451043,293,14466,239,2,73330.0
0.02,0.01990894883468098,0.9932203389830508,0.03903543831601385,293,14424,281,2,73120.0
0.021,0.01990456714383095,0.9898305084745763,0.03902439024390244,292,14378,327,3,73390.0
0.022000000000000002,0.019965811965811965,0.9898305084745763,0.039142091152815014,292,14333,372,3,73165.0
0.023,0.020042556112293226,0.9898305084745763,0.039289558665231435,292,14277,428,3,72885.0
0.024,0.02004270266547283,0.9864406779661017,0.03928716079384366,291,14228,477,4,73140.0
0.025,0.020118915929203538,0.9864406779661017,0.03943356595975337,291,14173,532,4,72865.0
0.026000000000000002,0.020212544280058347,0.9864406779661017,0.03961339504492241,291,14106,599,4,72530.0
0.027000000000000003,0.020311300342011587,0.9864406779661017,0.039803036520311856,291,14036,669,4,72180.0
0.028,0.020398149446235806,0.9864406779661017,0.039969782295172035,291,13975,730,4,71875.0
0.029,0.020435487280670846,0.9830508474576272,0.04003865801463482,290,13901,804,5,72005.0
0.030000000000000002,0.02055134292396003,0.9830508474576272,0.04026100236012772,290,13821,884,5,71605.0
0.031,0.020686211570012127,0.9830508474576272,0.040519770853709655,290,13729,976,5,71145.0
0.032,0.02072576018359151,0.9796610169491525,0.04059273825409088,289,13655,1050,6,71275.0
0.033,0.02085438014143455,0.9796610169491525,0.04083939800748958,289,13569,1136,6,70845.0
0.034,0.02083938425791461,0.9728813559322034,0.04080472026729225,287,13485,1220,8,71425.0
0.035,0.02098259979529171,0.9728813559322034,0.04107922421813497,287,13391,1314,8,70955.0
0.036000000000000004,0.021032504780114723,0.9694915254237289,0.04117181314330958,286,13312,1393,9,71060.0
0.037000000000000005,0.02122448979591837,0.9694915254237289,0.04153957879448075,286,13189,1516,9,70445.0
0.038,0.021348314606741574,0.9661016949152542,0.04177354342249908,285,13065,1640,10,70325.0
0.039,0.021520803443328552,0.9661016949152542,0.04210370808095731,285,12958,1747,10,69790.0
0.04,0.021619975639464068,0.9627118644067797,0.042290224108405924,284,12852,1853,11,69760.0
0.041,0.021807571220148966,0.9627118644067797,0.042649046403363866,284,12739,1966,11,69195.0
0.042,0.022034292807820623,0.9627118644067797,0.04308252427184466,284,12605,2100,11,68525.0
0.043000000000000003,0.022278004392845937,0.9627118644067797,0.043548263436326,284,12464,2241,11,67820.0
0.044000000000000004,0.022516451280424957,0.9627118644067797,0.04400371862410908,284,12329,2376,11,67145.0
0.045,0.022597964580495233,0.9559322033898305,0.04415218412400188,282,12197,2508,13,67485.0
0.046,0.022834008097165993,0.9559322033898305,0.044602609727164885,282,12068,2637,13,66840.0
0.047,0.02308825937448829,0.9559322033898305,0.045087536973379166,282,11932,2773,13,66160.0
0.048,0.02336371168185584,0.9559322033898305,0.04561261625556005,282,11788,2917,13,65440.0
0.049,0.02353828111911543,0.9525423728813559,0.04594130630262405,281,11657,3048,14,65285.0
0.05,0.02366813708856464,0.9457627118644067,0.04618058429198047,279,11509,3196,16,65545.0
0.06,0.025930210140736456,0.911864406779661,0.050426469209860346,269,10105,4600,26,63525.0
0.06999999999999999,0.02958910227780259,0.8983050847457628,0.057291103664468705,265,8691,6014,30,58455.0
0.07999999999999999,0.03333333333333333,0.8711864406779661,0.06420986883198002,257,7453,7252,38,56265.0
0.09,0.037548813457494744,0.847457627118644,0.0719114051488566,250,6408,8297,45,54540.0
0.09999999999999999,0.042824680999825206,0.8305084745762712,0.08144946808510638,245,5476,9229,50,52380.0
0.10999999999999999,0.04848119090726212,0.8169491525423729,0.09153057349031522,241,4730,9975,54,50650.0
0.12,0.05421548357454629,0.8,0.10154905335628227,236,4117,10588,59,50085.0
0.13,0.060793405461102526,0.8,0.11299976059372756,236,3646,11059,59,47730.0
0.13999999999999999,0.06683804627249357,0.7932203389830509,0.1232876712328767,234,3267,11438,61,46835.0
0.14999999999999997,0.0739102969046115,0.7932203389830509,0.13522103438312627,234,2932,11773,61,45160.0
0.15999999999999998,0.08035714285714286,0.7932203389830509,0.14593077642656688,234,2678,12027,61,43890.0
0.16999999999999998,0.08559732043170823,0.7796610169491526,0.15425888665325285,230,2457,12248,65,44785.0
0.18,0.09026128266033254,0.7728813559322034,0.16164480680609714,228,2298,12407,67,44990.0
0.18999999999999997,0.0961864406779661,0.7694915254237288,0.17099811676082863,227,2133,12572,68,44665.0
0.19999999999999998,0.10257568910980569,0.7694915254237288,0.1810207336523126,227,1986,12719,68,43930.0
0.20999999999999996,0.10794103661436044,0.7694915254237288,0.18932443703085905,227,1876,12829,68,43380.0
0.21999999999999997,0.1135567783891946,0.7694915254237288,0.1979075850043592,227,1772,12933,68,42860.0
0.22999999999999998,0.11841418883672405,0.7694915254237288,0.20524412296564196,227,1690,13015,68,42450.0
0.23999999999999996,0.1233695652173913,0.7694915254237288,0.2126463700234192,227,1613,13092,68,42065.0
0.24999999999999997,0.12746756909193457,0.7661016949152543,0.218568665377176,226,1547,13158,69,42235.0
0.25999999999999995,0.13349084465445954,0.7661016949152543,0.22736418511066397,226,1467,13238,69,41835.0
0.26999999999999996,0.13708690330477355,0.7593220338983051,0.23224468636599274,224,1410,13295,71,42550.0
0.27999999999999997,0.1405166981726528,0.7559322033898305,0.23698193411264612,223,1364,13341,72,42820.0
0.2899999999999999,0.14443005181347152,0.7559322033898305,0.2425231103860794,223,1321,13384,72,42605.0
0.29999999999999993,0.14787798408488065,0.7559322033898305,0.2473655019412091,223,1285,13420,72,42425.0
0.30999999999999994,0.15242652084757347,0.7559322033898305,0.25369738339021614,223,1240,13465,72,42200.0
0.31999999999999995,0.1550877192982456,0.7491525423728813,0.2569767441860465,221,1204,13501,74,43020.0
0.32999999999999996,0.1596820809248555,0.7491525423728813,0.26325193567599764,221,1163,13542,74,42815.0
0.33999999999999997,0.16296296296296298,0.7457627118644068,0.2674772036474164,220,1130,13575,75,43150.0
0.35,0.16755521706016754,0.7457627118644068,0.2736318407960199,220,1093,13612,75,42965.0
0.35999999999999993,0.1712275215011728,0.7423728813559322,0.2782719186785261,219,1060,13645,76,43300.0
0.36999999999999994,0.1738095238095238,0.7423728813559322,0.28167202572347266,219,1041,13664,76,43205.0
0.37999999999999995,0.1759935117599351,0.735593220338983,0.28403141361256545,217,1016,13689,78,44080.0
0.38999999999999996,0.17925311203319502,0.7322033898305085,0.288,216,989,13716,79,44445.0
